Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR;med;std;S
305;2;ESO;C;123;2;12;2;5.0;1.5500000000000007;5.583333333333333;1.5050420310248864;1.5832584594204766
305;2;ESO;C;123;3;13;1;5.0;1.3000000000000007;5.538461538461538;1.5607361839521232;1.303875529336385
263;2;ESO;A;121;1;12;1;6.0;3.0;6.5;1.6787441193290353;1.7045514452672967
263;2;ESO;A;121;2;12;2;6.0;2.5500000000000007;6.083333333333333;1.4433756729740643;1.5171063970610277
263;2;ESO;A;121;3;12;1;5.5;2.5500000000000007;6.166666666666667;1.5859229221975182;1.5832584594204766
345;3;ESO;A;131;1;13;1;6.0;2.0;6.384615384615385;1.8045526471705549;1.631345420808597
345;3;ESO;A;131;2;13;0;7.0;1.0;6.846153846153846;1.214231845389905;1.3114313374732376
345;3;ESO;A;131;3;13;0;7.0;2.3;6.769230769230769;1.4806443503784736;1.5508457063832817
49;1;BAC;B;212;1;11;0;6.0;1.7999999999999998;6.2727272727272725;1.009049958219026;1.2945451658448959
49;1;BAC;B;212;2;11;0;6.0;1.0;6.636363636363637;1.5666989036012804;1.4142790651247086
49;1;BAC;B;212;3;11;0;7.0;1.6000000000000005;7.181818181818182;1.0787197799411874;1.2406842919533958
387;3;ESO;C;133;1;13;7;4.0;2.0;4.153846153846154;1.4632243987255136;1.5193826646423014
387;3;ESO;C;133;2;13;4;5.0;1.3000000000000007;4.615384615384615;1.3867504905630728;1.377819508039033
387;3;ESO;C;133;3;13;5;5.0;1.6000000000000005;4.6923076923076925;1.2506408613597126;1.4791328074296435
365;3;ESO;B;132;1;13;1;6.0;2.0;6.076923076923077;1.0377490433255416;1.2309316230479224
365;3;ESO;B;132;2;13;1;6.0;3.0;6.384615384615385;1.5021352323976214;1.6313454208085967
365;3;ESO;B;132;3;13;0;6.0;1.3000000000000007;6.076923076923077;1.0377490433255416;1.2047933096947843
57;1;BAC;C;213;1;11;0;9.0;0.8000000000000007;8.909090909090908;0.7006490497453707;0.9949236325717751
57;1;BAC;C;213;2;11;0;9.0;1.0;9.272727272727273;0.6466697906828632;0.9164648855394713
57;1;BAC;C;213;3;11;0;9.0;1.0;9.363636363636363;0.504524979109513;0.6554817739013927
313;3;ESO;A;131;1;13;4;5.0;1.6000000000000014;5.076923076923077;1.800996874952798;1.5247073930301436
313;3;ESO;A;131;2;13;5;5.0;2.3000000000000007;5.153846153846154;1.863963243832607;1.844621476365503
313;3;ESO;A;131;3;14;2;5.0;0.05000000000000071;5.428571428571429;1.398586413506136;1.1275347898191255
32;1;BAC;B;212;1;11;0;6.0;1.0;6.545454545454546;0.9341987329938274;1.240684291953396
32;1;BAC;B;212;2;11;0;7.0;2.8000000000000007;6.545454545454546;1.4396969378057567;1.4681399390162087
32;1;BAC;B;212;3;11;0;7.0;1.7999999999999998;7.181818181818182;0.9816498172140428;1.2945451658448959
358;3;ESO;B;132;1;13;0;8.0;1.0;7.6923076923076925;0.947330933431342;1.1972375015579317
358;3;ESO;B;132;2;13;0;7.0;2.0;7.153846153846154;1.281025230440697;1.4985690796770057
358;3;ESO;B;132;3;13;0;8.0;2.0;7.6923076923076925;1.1821319289469756;1.2658567518727373
53;1;BAC;C;213;1;11;1;6.0;2.8000000000000007;6.090909090909091;1.5782614139961386;1.499030672979008
53;1;BAC;C;213;2;10;2;6.0;2.1000000000000005;6.0;1.632993161855452;1.6957425341696346
53;1;BAC;C;213;3;11;0;6.0;1.7999999999999998;6.363636363636363;1.2060453783110545;1.2945451658448959
450;4;ESO;B;142;1;12;5;5.0;3.1000000000000005;5.083333333333333;1.729862492345632;1.7481554572476758
