Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR
24;1;BAC;A;211;3;10;1;7.5;2.1000000000000005
289;2;ESO;B;122;1;12;6;4.5;1.5499999999999998
289;2;ESO;B;122;2;12;7;4.0;2.5500000000000007
289;2;ESO;B;122;3;12;6;4.5;1.5499999999999998
487;1;BAC;B;212;1;11;2;6.0;1.0
487;1;BAC;B;212;2;11;2;6.0;2.8000000000000007
487;1;BAC;B;212;3;11;1;7.0;2.6000000000000014
435;4;ESO;B;142;1;12;0;7.5;1.5500000000000007
435;4;ESO;B;142;2;12;0;7.0;0.5500000000000007
435;4;ESO;B;142;3;12;0;7.5;1.0
272;2;ESO;A;121;1;12;2;5.5;1.5500000000000007
272;2;ESO;A;121;2;12;2;5.0;1.5500000000000007
272;2;ESO;A;121;3;12;2;5.0;1.5500000000000007
260;2;ESO;A;121;1;12;0;7.5;2.0
260;2;ESO;A;121;2;12;1;8.0;2.0
260;2;ESO;A;121;3;12;0;8.0;2.0
324;3;ESO;A;131;1;13;11;3.0;1.2999999999999998
324;3;ESO;A;131;2;13;8;4.0;2.0
324;3;ESO;A;131;3;14;8;4.0;2.0
309;2;ESO;C;123;1;12;1;5.0;1.0
309;2;ESO;C;123;2;12;6;4.5;2.0
309;2;ESO;C;123;3;12;1;6.0;1.0
366;3;ESO;B;132;1;13;3;6.0;2.3
366;3;ESO;B;132;2;13;3;5.0;1.2999999999999998
366;3;ESO;B;132;3;13;2;5.0;1.0
402;3;ESO;C;133;1;13;6;5.0;5.0
402;3;ESO;C;133;2;13;4;5.0;2.3000000000000007
402;3;ESO;C;133;3;13;2;6.0;2.0
274;2;ESO;B;122;1;12;7;4.0;4.1000000000000005
274;2;ESO;B;122;2;12;6;4.5;3.55
274;2;ESO;B;122;3;12;6;4.5;3.55
340;3;ESO;A;131;1;13;1;6.0;2.3000000000000007
340;3;ESO;A;131;2;13;0;6.0;1.3000000000000007
340;3;ESO;A;131;3;13;0;6.0;1.3000000000000007
280;2;ESO;B;122;1;12;5;5.0;2.55
280;2;ESO;B;122;2;12;6;4.5;2.0
280;2;ESO;B;122;3;12;3;5.5;1.5499999999999998
437;4;ESO;B;142;1;12;0;9.0;1.0
437;4;ESO;B;142;2;12;0;9.0;1.0
437;4;ESO;B;142;3;12;0;10.0;1.0
188;1;ESO;A;111;1;11;0;7.0;2.0
188;1;ESO;A;111;2;11;0;7.0;1.7999999999999998
188;1;ESO;A;111;3;11;0;8.0;1.0
338;3;ESO;D;134;1;9;4;6.0;2.3
338;3;ESO;D;134;2;14;2;5.0;0.05000000000000071
338;3;ESO;D;134;3;14;1;5.0;1.0500000000000007
181;1;ESO;A;111;1;11;0;7.0;1.0
181;1;ESO;A;111;2;11;0;8.0;1.7999999999999998
181;1;ESO;A;111;3;11;0;8.0;1.7999999999999998
312;3;ESO;A;131;1;13;3;5.0;1.9000000000000004
312;3;ESO;A;131;2;13;1;5.0;2.0
312;3;ESO;A;131;3;13;2;5.0;1.3000000000000007
468;4;ESO;C;143;1;12;0;6.5;1.0
468;4;ESO;C;143;2;12;1;5.0;2.0
468;4;ESO;C;143;3;12;0;6.0;1.5500000000000007
268;2;ESO;A;121;1;12;0;7.5;2.0
268;2;ESO;A;121;2;12;0;8.0;1.0
268;2;ESO;A;121;3;12;0;8.0;1.1000000000000005
23;1;BAC;A;211;1;11;4;5.0;3.0
23;1;BAC;A;211;2;11;3;5.0;1.7999999999999998
23;1;BAC;A;211;3;11;0;5.0;1.8000000000000007
47;1;BAC;B;212;1;11;1;6.0;2.0
47;1;BAC;B;212;2;11;3;6.0;2.6000000000000005
47;1;BAC;B;212;3;11;0;6.0;2.0
367;3;ESO;B;132;1;13;1;7.0;2.0
367;3;ESO;B;132;2;13;0;8.0;1.0
367;3;ESO;B;132;3;13;0;7.0;1.3000000000000007
207;1;ESO;B;112;1;11;4;5.0;2.0
207;1;ESO;B;112;2;11;5;5.0;2.6000000000000014
207;1;ESO;B;112;3;11;1;5.0;1.8000000000000007
52;1;BAC;C;213;1;11;0;8.0;2.0
52;1;BAC;C;213;2;10;0;9.0;1.0499999999999998
52;1;BAC;C;213;3;11;0;9.0;1.6000000000000014
